"SL","Item Name","Item Code","Date","Price","Quantity"
"1","car audio (CA)","NM-8010","2017-11-10","8,544","41"
"2","car navigation (CN)","NM-8011","2017-11-10","4,514","14"
"3","computer (CP)","NM-8013","2017-11-10","4,413","54"
"4","copy machine (CM)","NM-8012","2017-11-10","5,756","100"
"5","digital camera (DC)","NM-8014","2017-11-11","4,597","90"
"6","digital video camera (DVC)","NM-8016","2017-11-11","4,121","45"
"7","digital video player (DVP)","NM-8017","2017-11-11","7,458","40"
"8","digital video recorder (DVR)","NM-8018","2017-11-11","4,756","500"
"9","display device (DD)","NM-8015","2017-11-11","7,456","50"
"10","fax (FAX)","NM-8019","2017-11-11","2,584","120"
"11","global positioning system (GPS)","NM-8020","2017-11-12","3,695","350"
"12","hard disk drive (HDD)","NM-8021","2017-11-12","4,522","740"
"13","mechatronics (MN)","NM-8023","2017-11-12","9,685","580"
"14","mobile phone (MP)","NM-8024","2017-11-13","8,657","685"
"15","multifunction printer (MFP)","NM-8022","2017-11-12","4,521","280"
"16","network device (NW)","NM-8026","2017-11-13","8,574","385"
"17","personal computer (PC)","NM-8027","2017-11-13","2,574","452"
"18","portable media player (PMP)","NM-8028","2017-11-13","9,685","274"
"19","printer (PR)","NM-8029","2017-11-13","7,451","200"
"20","semiconductor (SC)","NM-8030","2017-11-13","3,585","500"
