"SL","Item Name","Price","Date","Price","Quantity"
"1","ACP-990L  AUTO CHART PROJECTOR 2","495","","",""
"2","ACP-300 LED VISION CHARTS(21.5"")","470","","",""
"3","DESK SUPPORT FOR ACP-901","76","","",""
"4","ACP-905 LED VISION CHARTS(23"")","1530","","",""
"5","ACP-905P LED VISION CHARTS(23"" POLARIZATION SCREEN)","2800","","",""
"6","ACP-908 LED VISION CHARTS(21.5"" SCREEN)","460","","",""
"7","ACP-1500  AUTO CHART PROJECTOR ","980","","",""
"8","ALE-903A AUTO LENS EDGER ","1890","","",""
"9","ALE-904A  AUTO LENS EDGER(PC WHEEL)","2490","","",""
"10","ALE-905A AUTO LENS EDGER(CR-39 WHEEL)","2210","","",""
"11","ALE-906A AUTO LENS EDGER(PC WHEEL)","2310","","",""
"12","ALE-907A AUTO LENS EDGER(PC WHEEL)","2490","","",""
"13","ALE-9800 PATTERNLESS LENS EDGER(2D, WITHOUT GROOVER)","6320","","",""
"14","ALE-9900AK PATTERNLESS LENS EDGER (3D, WITH GROOVING FUNCTION)","8840","","",""
"15","AP-800 AUTO PHOROPTER(WITH CP-600 AUTO CHART PROJECTOR)","5420","","",""
"16","AP-7600 AUTO PHOROPTER(BULETOOTH)","6640","","",""
"17","ARK-1 AUTO REFRACTO-KERATOMETER","5700","","",""
"18","ARK-6500 AUTO REFRACTO-KERATOMETER","3400","","",""
"19","ATHENA VISION SCREENER(VST)","7600","","",""
"20","BIO-1100(BIO-100) PROJECTION PERIMETER(SAME AS ZEISS 8 SERIES)","14200","","",""
"21","CT-B1001 - B1005 AS NOSE PAD","12.2","","",""
"22","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)","31.2","","",""
"23","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (SOFT CORE)","12.4","","",""
"24","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (HARD CORE)","30","","",""
"25","CTPH-67/71/72/115 SILICONE NOSE PAD FOR RAYBAN - METAL INSIDE","28.4","","",""
"26","CTG-Q6/Q7 SILICONE STICK-ON FOR TEMPLE TIP WITH LOGO","80","","",""
"27","CTG-1T/2T/3T SILICONE STICK-ON NOSE PAD WITH LOGO","116","","",""
"28","CTG-213/255/256/261 SILICONE NOSE PAD","42","","",""
"29","CTG-225/226/227/229/301/302 SILICONE NOSE PAD","64","","",""
"30","SILICONE NOSE PADS - WITH THERMPRINTED LOGO(TWO COLOR)","28","","",""
"31","CTPH   PVC NOSE PAD","4.6","","",""
"32","CTPU-1/2/3 PU NOSE PAD","7.2","","",""
"33","CTT-119/122/133/134/135/142/149/188/194 PVC NOSE PAD","5","","",""
"34","CTT-127/155/156/161 PC NOSE PAD","5.8","","",""
"35","CTR-401 PVC NOSE PAD","5","","",""
"36","CTY-303/307 PC NOSE PAD","5.8","","",""
"37","CT-WH1 WH2 SILICONE TEMPLE LOCKS","38","","",""
"38","CT-WH4 /5/8 SILICONE TEMPLE LOCKS","33.4","","",""
"39","CT-B1001 - B1005 AS NOSE PAD","12.2","","",""
"40","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)","31.2","","",""
"41","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (SOFT CORE)","12.4","","",""
"42","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (HARD CORE)","30","","",""
"43","CTPH-67/71/72/115 SILICONE NOSE PAD FOR RAYBAN - METAL INSIDE","28.4","","",""
"44","CTG-Q6/Q7 SILICONE STICK-ON FOR TEMPLE TIP WITH LOGO","80","","",""
"45","CTG-1T/2T/3T SILICONE STICK-ON NOSE PAD WITH LOGO","116","","",""
"46","CTG-213/255/256/261 SILICONE NOSE PAD","42","","",""
"47","CTG-225/226/227/229/301/302 SILICONE NOSE PAD","64","","",""
"48","SILICONE NOSE PADS - WITH THERMPRINTED LOGO(TWO COLOR)","28","","",""
"49","CTPH   PVC NOSE PAD","4.6","","",""
"50","CTPU-1/2/3 PU NOSE PAD","7.2","","",""
"51","CTT-119/122/133/134/135/142/149/188/194 PVC NOSE PAD","5","","",""
"52","CTT-127/155/156/161 PC NOSE PAD","5.8","","",""
"53","CTR-401 PVC NOSE PAD","5","","",""
"54","CTY-303/307 PC NOSE PAD","5.8","","",""
"55","CT-WH1 WH2 SILICONE TEMPLE LOCKS","38","","",""
"56","CT-WH4 /5/8 SILICONE TEMPLE LOCKS","33.4","","",""
