"SL","Title","Description Summary","Price","Base Price","Discount Price"," Quantity"," Size"," Condition"," Status"," Is Featured"," Cat ID"," SubCat ID"," ChildCat ID"," Barnd ID"," SKU"," Weight"," Lenght"," Height"," Width"," Is Physical"," Warehouse"," Template"," Backorder"," Discount Option"," SPH"," DIA"," CYL"," AXIS"," RAD"," COLOR"," ADD"," UPC"," VTO"," VTO Url"," Lens Option"," Gender Man"," Gender Woman"," B2B Option"," Ek Price"," Discount"," Photo"
"1","ACP-990L  AUTO CHART PROJECTOR 2","ACP-990L  AUTO CHART PROJECTOR ","495","495","","10","m","default","active","0","147","167","","6","ACP-990L","","","","","yes","34","Optometrie","enable","3","ss","","","","","","","123456","0","","0","0","0","1","330","0","PR-ACP990L.jpg"
"2","ACP-300 LED VISION CHARTS(21.5"")","ACP-300 LED VISION CHARTS(21.5"")","470","470","","10","m","default","active","0","147","167","","6","ACP-300","","","","","yes","34","Optometrie","enable","3","","","","","","","","123457","0","","0","0","0","1","235","0","pr-acp300296.jpg"
"3","DESK SUPPORT FOR ACP-901","DESK SUPPORT FOR ACP-900","76","76","","10","m","default","active","0","147","167","","6","DESK","","","","","yes","34","Optometrie","enable","3","","","","","","","","123458","0","","0","0","0","1","38","0",""
"4","ACP-905 LED VISION CHARTS(23"")","ACP-905 LED VISION CHARTS(23"")","1530","1,530","","10","m","default","active","0","147","167","","6","ACP-905","","","","","yes","34","Optometrie","enable","3","","","","","","","","123459","0","","0","0","0","1","765","0","pr-acp905300.jpg"
"5","ACP-905P LED VISION CHARTS(23"" POLARIZATION SCREEN)","ACP-905P LED VISION CHARTS(23"" POLARIZATION SCREEN)","2800","2,800","","10","m","default","active","0","147","167","","6","ACP-905P","","","","","yes","34","Optometrie","enable","3","","","","","","","","123460","0","","0","0","0","1","1400","0","pr-acp905300.jpg"
"6","ACP-908 LED VISION CHARTS(21.5"" SCREEN)","ACP-908 LED VISION CHARTS(21.5"" SCREEN)","460","460","","10","m","default","active","0","147","167","","6","ACP-908","","","","","yes","34","Optometrie","enable","3","","","","","","","","123461","0","","0","0","0","1","230","0","pr-acp908302.jpg"
"7","ACP-1500  AUTO CHART PROJECTOR ","ACP-1500  AUTO CHART PROJECTOR ","980","980","","10","m","default","active","0","147","167","","6","ACP-1500","","","","","yes","34","Optometrie","enable","3","","","","","","","","123462","0","","0","0","0","1","490","0","pr-acp-1500305.jpg"
"8","ALE-903A AUTO LENS EDGER ","ALE-903A AUTO LENS EDGER ","1890","1,890","","10","m","default","active","0","147","167","","6","ALE-903A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123463","0","","0","0","0","1","945","0",""
"9","ALE-904A  AUTO LENS EDGER(PC WHEEL)","ALE-904A  AUTO LENS EDGER(PC WHEEL)","2490","2,490","","10","m","default","active","0","147","167","","6","ALE-904A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123464","0","","0","0","0","1","1245","0",""
"10","ALE-905A AUTO LENS EDGER(CR-39 WHEEL)","ALE-905A AUTO LENS EDGER(CR-39 WHEEL)","2210","2,210","","10","m","default","active","0","147","167","","6","ALE-905A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123465","0","","0","0","0","1","1105","0","pr-ale-905307.jpg"
"11","ALE-906A AUTO LENS EDGER(PC WHEEL)","ALE-906A AUTO LENS EDGER(PC WHEEL)","2310","2,310","","10","m","default","active","0","147","167","","6","ALE-906A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123466","0","","0","0","0","1","1155","0","pr-ale-906308.jpg"
"12","ALE-907A AUTO LENS EDGER(PC WHEEL)","ALE-907A AUTO LENS EDGER(PC WHEEL)","2490","2,490","","10","m","default","active","0","147","167","","6","ALE-907A","","","","","yes","34","Optometrie","enable","3","","","","","","","","123467","0","","0","0","0","1","1245","0","pr-ale-907309.jpg"
"13","ALE-9800 PATTERNLESS LENS EDGER(2D, WITHOUT GROOVER)","ALE-9800 PATTERNLESS LENS EDGER(2D, WITHOUT GROOVER)","6320","6,320","","10","m","default","active","0","147","167","","6","ALE-9800","","","","","yes","34","Optometrie","enable","3","","","","","","","","123468","0","","0","0","0","1","3160","0","pr-ale-9800310.jpg"
"14","ALE-9900AK PATTERNLESS LENS EDGER (3D, WITH GROOVING FUNCTION)","ALE-9900AK PATTERNLESS LENS EDGER (3D, WITH GROOVING FUNCTION)","8840","8,840","","10","m","default","active","0","147","167","","6","ALE-9900AK","","","","","yes","34","Optometrie","enable","3","","","","","","","","123469","0","","0","0","0","1","4420","0","pr-ale-9900311.jpg"
"15","AP-800 AUTO PHOROPTER(WITH CP-600 AUTO CHART PROJECTOR)","AP-800 AUTO PHOROPTER(WITH CP-600 AUTO CHART PROJECTOR)","5420","5,420","","10","m","default","active","0","147","167","","6","AP-800","","","","","yes","34","Optometrie","enable","3","","","","","","","","123470","0","","0","0","0","1","2710","0","pr-ap-800317.jpg"
"16","AP-7600 AUTO PHOROPTER(BULETOOTH)","AP-7600 AUTO PHOROPTER(BULETOOTH)","6640","6,640","","10","m","default","active","0","147","167","","6","AP-7600","","","","","yes","34","Optometrie","enable","3","","","","","","","","123471","0","","0","0","0","1","3320","0","pr-ap7600319.jpg"
"17","ARK-1 AUTO REFRACTO-KERATOMETER","ARK-1 AUTO REFRACTO-KERATOMETER","5700","5,700","","10","m","default","active","0","147","167","","6","ARK-1","","","","","yes","34","Optometrie","enable","3","","","","","","","","123472","0","","0","0","0","1","2850","0","pr-ark-1whiteframescreen322.jpg"
"18","ARK-6500 AUTO REFRACTO-KERATOMETER","ARK-6500 AUTO REFRACTO-KERATOMETER","3400","3,400","","10","m","default","active","0","147","167","","6","ARK-6500","","","","","yes","34","Optometrie","enable","3","","","","","","","","123473","0","","0","0","0","1","1700","0",""
"19","ATHENA VISION SCREENER(VST)","ATHENA VISION SCREENER(VST)","7600","7,600","","10","m","default","active","0","147","167","","6","ATHENA","","","","","yes","34","Optometrie","enable","3","","","","","","","","123474","0","","0","0","0","1","3800","0",""
"20","BIO-1100(BIO-100) PROJECTION PERIMETER(SAME AS ZEISS 8 SERIES)","BIO-1100(BIO-100) PROJECTION PERIMETER(SAME AS ZEISS 8 SERIES)","14200","14,200","","10","m","default","active","0","147","167","","6","BIO-1100(BIO-100)","","","","","yes","34","Optometrie","enable","3","","","","","","","","123475","0","","0","0","0","1","7100","0",""
"21","CT-B1001 - B1005 AS NOSE PAD","CT-B1001 - B1005 AS NOSE PAD 200Stk.","12.2","12","","10","m","default","active","0","188","91","","6","CT-B1001","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123457","0","","0","0","0","1","6.1","0",""
"22","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)","CT-D3001 - D3007 SILICONE NOSE PADS(PLASTIC CORE)200Stk.","31.2","31","","10","m","default","active","0","188","91","","6","CT-D3001","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123458","0","","0","0","0","1","15.6","0",""
"23","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (SOFT CORE)","200 Stk.","12.4","12","","10","m","default","active","0","188","91","","6","CTG-1AS/2AS/4AS/5AS","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123459","0","","0","0","0","1","6.2","0",""
"24","CTG-1AS/2AS/4AS/5AS SILICONE AIR NOSE PAD (HARD CORE)","200 Stk.","30","30","","10","m","default","active","0","188","91","","6","CTG-1AS/2AS/4AS/5AS","","","","","yes","34","Werkstattbedarf","enable","3","","","","","","","","123460","0","","0","0","0","1","15","0",""
